Index,Episode No,Score,Steps,Rolling Score
0,1,-10,15,-10.0
1,2,-10,9,-10.0
2,3,-10,29,-10.0
3,4,-10,3,-10.0
4,5,-10,35,-10.0
5,6,-10,7,-10.0
6,7,-10,38,-10.0
7,8,-10,29,-10.0
8,9,-10,13,-10.0
9,10,-10,5,-10.0
10,11,-10,3,-10.0
11,12,-10,4,-10.0
12,13,-10,17,-10.0
13,14,-10,10,-10.0
14,15,-10,7,-10.0
15,16,-10,27,-10.0
16,17,-10,15,-10.0
17,18,-10,21,-10.0
18,19,-10,9,-10.0
19,20,-10,13,-10.0
20,21,-10,10,-10.0
21,22,-10,23,-10.0
22,23,-10,14,-10.0
23,24,-10,8,-10.0
24,25,-10,14,-10.0
25,26,-10,7,-10.0
26,27,-10,23,-10.0
27,28,-10,10,-10.0
28,29,-10,3,-10.0
29,30,-10,3,-10.0
30,31,-10,7,-10.0
31,32,-10,20,-10.0
32,33,-10,32,-10.0
33,34,-10,13,-10.0
34,35,-10,9,-10.0
35,36,-10,5,-10.0
36,37,-10,19,-10.0
37,38,-10,29,-10.0
38,39,-10,39,-10.0
39,40,-10,13,-10.0
40,41,-10,3,-10.0
41,42,-10,11,-10.0
42,43,-10,8,-10.0
43,44,-10,9,-10.0
44,45,-10,3,-10.0
45,46,-10,3,-10.0
46,47,-10,25,-10.0
47,48,-10,7,-10.0
48,49,-10,10,-10.0
49,50,-10,37,-10.0
50,51,-10,169,-10.0
51,52,-10,330,-10.0
52,53,-10,129,-10.0
53,54,-10,278,-10.0
54,55,-10,50,-10.0
55,56,-10,133,-10.0
56,57,10,374,-6.0
57,58,0,883,-4.0
58,59,-10,188,-4.0
59,60,0,289,-2.0
60,61,-10,584,-2.0
61,62,-10,657,-6.0
62,63,-10,118,-8.0
63,64,-10,1738,-8.0
64,65,-10,237,-10.0
65,66,10,847,-6.0
66,67,-10,275,-6.0
67,68,-10,541,-6.0
68,69,40,995,4.0
69,70,100,1627,26.0
70,71,-10,26,22.0
71,72,30,1363,30.0
72,73,-10,78,30.0
73,74,-10,21,20.0
74,75,70,2090,14.0
75,76,-10,64,14.0
76,77,-10,3,6.0
77,78,30,685,14.0
78,79,20,1189,20.0
79,80,0,328,6.0
80,81,-10,331,6.0
81,82,-10,156,6.0
82,83,20,981,4.0
83,84,30,957,6.0
84,85,-10,273,4.0
85,86,10,1270,8.0
86,87,10,469,12.0
87,88,-10,190,6.0
88,89,0,641,0.0
89,90,20,572,6.0
90,91,10,150,6.0
91,92,0,520,4.0
92,93,30,985,12.0
93,94,20,274,16.0
94,95,-10,45,10.0
95,96,20,439,12.0
96,97,-10,246,10.0
97,98,30,822,10.0
98,99,10,195,8.0
99,100,-10,300,8.0
100,101,-10,63,2.0
101,102,0,292,4.0
102,103,20,776,2.0
103,104,0,216,0.0
104,105,0,196,2.0
105,106,10,662,6.0
106,107,20,147,10.0
107,108,-10,36,4.0
108,109,50,1588,14.0
109,110,40,1080,22.0
110,111,-10,47,18.0
111,112,40,329,22.0
112,113,0,119,24.0
113,114,390,2433,92.0
114,115,10,284,86.0
115,116,0,336,88.0
116,117,30,250,86.0
117,118,0,145,86.0
118,119,130,363,34.0
119,120,220,668,76.0
120,121,260,936,128.0
121,122,150,726,152.0
122,123,240,802,200.0
123,124,120,317,198.0
124,125,70,266,168.0
125,126,100,301,136.0
126,127,110,285,128.0
127,128,120,320,104.0
128,129,70,251,94.0
129,130,190,433,118.0
130,131,160,508,130.0
131,132,140,304,136.0
132,133,270,838,166.0
133,134,290,729,210.0
134,135,100,252,192.0
135,136,230,609,206.0
136,137,170,384,212.0
137,138,150,474,188.0
138,139,260,693,182.0
139,140,270,664,216.0
140,141,340,1163,238.0
141,142,120,394,228.0
142,143,80,237,214.0
143,144,70,263,176.0
144,145,110,508,144.0
145,146,140,548,104.0
146,147,110,273,102.0
147,148,360,875,158.0
148,149,0,28,144.0
149,150,270,847,176.0
150,151,160,440,180.0
151,152,220,871,202.0
152,153,420,1072,214.0
153,154,190,640,252.0
154,155,140,349,226.0
155,156,110,344,216.0
156,157,110,303,194.0
157,158,100,563,130.0
158,159,270,807,146.0
159,160,130,482,144.0
160,161,190,801,160.0
161,162,120,503,162.0
162,163,210,761,184.0
163,164,180,626,166.0
164,165,170,600,174.0
165,166,0,47,136.0
166,167,210,623,154.0
167,168,300,1148,172.0
168,169,160,654,168.0
169,170,310,1186,196.0
170,171,140,370,224.0
171,172,260,828,234.0
172,173,50,231,184.0
173,174,130,508,178.0
174,175,100,282,136.0
175,176,120,272,132.0
176,177,110,316,102.0
177,178,180,540,128.0
178,179,170,403,136.0
179,180,330,968,182.0
180,181,170,545,192.0
181,182,190,425,208.0
182,183,250,565,222.0
183,184,150,343,218.0
184,185,280,833,208.0
185,186,90,249,192.0
186,187,230,511,200.0
187,188,200,550,190.0
188,189,270,727,214.0
189,190,100,276,178.0
190,191,270,632,214.0
191,192,140,500,196.0
192,193,190,432,194.0
193,194,190,391,178.0
194,195,130,332,184.0
195,196,150,336,160.0
196,197,110,230,154.0
197,198,210,412,158.0
198,199,250,635,170.0
199,200,220,505,188.0
